,phase_id,thermal_expansion,temperature
P1100654-23,31133.0,5.333333333333333,298.0
P1104103-2,13996.0,-5.4,298.0
P1104104-2,13995.0,11.833333333333334,298.0
P1104107-1,18989.0,11.399999999999999,298.0
P1105078-5,9770.0,11.0,212.5
P1105079-4,9769.0,13.166666666666666,212.5
P1106494-5,26449.0,15.066666666666666,483.0
P1106495-6,27058.0,22.966666666666665,948.0
P1106686-12,32568.0,6.333333333333333,30.4
P1106993-6,78504.0,9.266666666666667,298.0
P1106994-5,68041.0,17.5,298.0
P1106995-7,78504.0,17.9,298.0
P1106996-6,78504.0,12.999999999999998,298.0
P1107145-6,13884.0,29.53333333333333,780.0
P1107146-6,13884.0,29.53333333333333,570.0
P1107177-5,19423.0,13.803333333333333,573.0
P1108741-6,71825.0,9.0,225.0
P1108742-8,71826.0,11.366666666666667,725.0
P1108803-10,26722.0,12.7,873.0
P1108803-9,26722.0,9.0,525.5
P1108804-8,71777.0,8.933333333333334,525.5
P1108804-9,71777.0,12.333333333333332,873.0
P1108805-10,13577.0,9.4,565.5
P1108805-11,13577.0,13.233333333333334,933.0
P1108806-10,71776.0,8.833333333333332,545.5
P1108806-11,71776.0,12.0,913.0
P1110927-5,50163.0,15.236666666666666,635.5
P1110928-4,127780.0,19.376666666666665,635.5
P1110929-3,127779.0,20.77,635.5
P1110930-3,50120.0,8.02,635.5
P1111286-3,28091.0,11.666666666666664,298.0
P1111612-3,81343.0,6.999999999999999,157.5
P1111771-5,75431.0,4.433333333333333,298.0
P1116079-3,15966.0,7.1,298.0
P1116243-9,5251.0,6.0,298.0
P1118237-2,14097.0,-23.33333333333333,298.0
P1118638-1,15933.0,6.333333333333333,535.5
P1118639-1,120633.0,8.833333333333332,535.5
P1118640-1,104799.0,7.633333333333333,535.5
P1118641-1,120634.0,8.6,535.5
P1118642-1,105575.0,8.1,535.5
P1118648-4,26534.0,9.819999999999999,773.0
P1118650-4,123165.0,-4.029999999999999,773.0
P1118916-8,135205.0,12.499999999999998,298.0
P1118943-6,22034.0,2.333333333333333,298.0
P1120220-4,9953.0,9.663333333333332,1023.0
P1120827-3,27291.0,20.0,298.0
P1121923-6,13577.0,9.866666666666667,298.0
P1123568-5,69072.0,13.173333333333334,298.0
P1123570-5,26531.0,12.653333333333334,298.0
P1124264-3,27291.0,6.633333333333333,298.0
P1124265-3,51611.0,8.366666666666667,298.0
P1124266-3,71819.0,7.566666666666666,298.0
P1124516-6,105920.0,11.133333333333333,298.0
P1126342-10,26847.0,5.466666666666666,298.0
P1127172-8,14051.0,-2.9733333333333327,298.0
P1127173-5,139432.0,17.2,298.0
P1127174-5,14051.0,-7.3,298.0
P1127506-8,33181.0,7.576666666666666,298.0
P1127515-2,17239.0,9.043333333333333,298.0
P1127755-6,74502.0,6.533333333333332,298.0
P1127932-4,67009.0,1813.3333333333333,298.0
P1127933-12,67011.0,520.0,298.0
P1128043-1,81611.0,11.666666666666664,298.0
P1128044-1,81612.0,15.433333333333332,298.0
P1128575-10,94428.0,2.0,298.0
P1128575-9,94428.0,16.666666666666668,298.0
P1128751-15,17742.0,9.2,298.0
P1128947-9,13143.0,4.8,980.0
P1128948-12,13147.0,4.433333333333333,298.0
P1128949-10,77138.0,4.233333333333333,298.0
P1129689-4,14013.0,0.8666666666666667,298.0
P1129690-4,14774.0,0.9666666666666667,298.0
P1130421-6,74310.0,5.98,0.0
P1211540-3,14861.0,9.876666666666665,873.0
P1211541-4,14861.0,17.516666666666666,1603.0
P1300330-8,13996.0,-1.6666666666666667,218.0
P1302618-14,33762.0,1.7123333333333333,0.0
P1307745-2,16103.0,0.9666666666666667,298.0
P1307747-1,53160.0,3.2333333333333334,298.0
P1308458-14,75159.0,2.333333333333333,50.0
P1308458-15,75159.0,16.333333333333332,295.0
P1308593-19,10682.0,1.5666666666666664,200.0
P1308593-20,10682.0,0.8999999999999999,200.0
P1308593-21,10682.0,0.7666666666666666,200.0
P1310154-31,96834.0,6.0,298.0
P1312096-4,32993.0,6.333333333333333,212.0
P1312096-5,32993.0,4.0,298.0
P1312105-6,123139.0,7.333333333333333,114.0
P1312105-7,123139.0,6.333333333333333,212.0
P1312107-4,32993.0,7.333333333333333,114.0
P1312107-5,32993.0,2.6666666666666665,50.0
P1313116-3,18987.0,9.333333333333332,650.0
P1317096-9,13995.0,13.290000000000001,298.0
P1317441-8,110020.0,10.233333333333333,785.5
P1317442-9,110020.0,10.233333333333333,785.5
P1318106-7,26641.0,3.5966666666666667,785.5
P1318106-8,26641.0,7.659999999999999,1273.0
P1318874-5,18858.0,4.233333333333333,498.0
P1318874-6,18858.0,5.316666666666666,1495.0
P1320617-1,27330.0,2.7766666666666664,1600.0
P1320617-2,27330.0,2.893333333333333,1600.0
P1320617-3,27330.0,1.8299999999999998,320.0
P1320617-4,27330.0,1.9799999999999998,320.0
P1320618-1,46262.0,2.8833333333333333,1600.0
P1320618-2,46262.0,2.9466666666666663,1600.0
P1320618-3,46262.0,2.05,320.0
P1320618-4,46262.0,2.163333333333333,320.0
P1320619-1,46265.0,2.8366666666666664,1600.0
P1320619-2,46265.0,2.93,1600.0
P1320619-3,46265.0,2.063333333333333,320.0
P1320619-4,46265.0,2.19,320.0
P1320620-1,46263.0,2.9066666666666663,1600.0
P1320620-2,46263.0,2.9699999999999998,1600.0
P1320620-3,46263.0,2.3466666666666667,320.0
P1320620-4,46263.0,2.4,320.0
P1320621-1,31761.0,3.0033333333333334,1600.0
P1320621-2,31761.0,3.07,1600.0
P1320621-3,31761.0,2.493333333333333,320.0
P1320621-4,31761.0,2.58,320.0
P1320622-1,80614.0,3.07,1600.0
P1320622-2,80614.0,3.1133333333333333,1600.0
P1320622-3,80614.0,2.4366666666666665,320.0
P1320622-4,80614.0,2.4699999999999998,320.0
P1320641-3,37999.0,-2.7666666666666666,436.5
P1320641-4,37999.0,-13.533333333333331,586.5
P1320641-5,37999.0,-23.33333333333333,723.0
P1320642-3,129602.0,-11.833333333333334,536.5
P1320818-10,16378.0,4.266666666666667,298.0
P1320818-9,16378.0,-0.5,100.0
P1320872-7,109626.0,5.333333333333333,610.5
P1320874-5,27302.0,7.333333333333333,585.5
P1422820-7,95569.0,9.4,563.0
P1510330-4,35258.0,2.333333333333333,298.0
P1510694-4,50133.0,1.8666666666666665,298.0
P1510694-5,50133.0,5.2333333333333325,298.0
P1510695-4,32442.0,4.566666666666666,298.0
P1510695-5,32442.0,7.666666666666666,298.0
P1510697-3,32428.0,5.433333333333333,298.0
P1510697-4,32428.0,9.566666666666666,298.0
P1511361-15,32672.0,7.833333333333332,298.0
P1514611-9,26984.0,13.266666666666666,298.0
P1514932-2,127151.0,3.9,100.0
P1514932-3,127151.0,5.266666666666667,295.0
P1514932-4,127151.0,11.166666666666666,1125.0
P1520204-4,13364.0,22.333333333333332,293.0
P1520205-4,48692.0,20.099999999999998,293.0
P1520206-6,48693.0,9.333333333333332,298.0
P1520207-6,33181.0,7.666666666666666,298.0
P1520208-4,17239.0,7.3,600.0
P1520209-5,48692.0,10.766666666666666,500.0
P1520221-5,51860.0,7.8,298.0
P1520222-6,62777.0,8.933333333333334,298.0
P1521377-5,13952.0,1.1666666666666665,36.0
P1521378-5,73665.0,1.6666666666666667,20.0
P1522355-4,13167.0,13.333333333333334,298.0
P1524093-5,19425.0,11.166666666666666,298.0
P1524094-5,12924.0,12.719999999999999,298.0
P1524095-5,13703.0,13.486666666666666,298.0
P1524130-4,9013.0,9.4,300.0
P1524131-4,60109.0,8.433333333333332,300.0
